Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status
jouet-os-a-macher-chien,Jouet à mâcher os en caoutchouc pour chien — nettoyage des dents,"<p>Un os à mâcher en caoutchouc souple dont les picots massent les gencives et décollent la plaque dentaire pendant que votre chien joue. Il rebondit, flotte et supporte le lancer&nbsp;: il sert autant au jeu qu'à l'hygiène bucco-dentaire.</p>
<h3>Pourquoi il plaît</h3>
<ul>
<li>Picots en relief qui nettoient les dents à chaque mastication</li>
<li>Caoutchouc thermoplastique souple, non toxique et sans BPA</li>
<li>Flottant&nbsp;: utilisable au parc comme au bord de l'eau</li>
<li>Convient aux chiots et aux chiens adultes de petite et moyenne taille</li>
</ul>
<h3>Caractéristiques</h3>
<ul>
<li>Matière&nbsp;: caoutchouc TPR de qualité alimentaire</li>
<li>Longueur&nbsp;: environ 13&nbsp;cm</li>
<li>Vendu à l'unité ou par lot de 3</li>
<li>Nettoyage&nbsp;: eau tiède savonneuse, séchage à l'air libre</li>
</ul>
<p><strong>Conseil&nbsp;:</strong> remplacez le jouet dès que le caoutchouc se fissure, et surveillez toujours votre chien pendant le jeu.</p>",Velluno,Animal & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys,Jouets pour chien,"chien, jouet, hygiène dentaire, caoutchouc, best-seller",TRUE,Couleur,Noir,Lot,1 pièce,,,VEL-JOU-NOIR-1P,95,shopify,50,deny,manual,1.99,2.01,TRUE,TRUE,,,,,FALSE,Jouet à mâcher os pour chien — brosse à dents en caoutchouc | Velluno,"Os à mâcher en caoutchouc à picots pour nettoyer les dents de votre chien en jouant. Sans BPA, flottant, à l'unité ou par lot de 3.",,g,,active
jouet-os-a-macher-chien,,,,,,,,Couleur,Noir,Lot,Lot de 3 pièces,,,VEL-JOU-NOIR-3P,280,shopify,50,deny,manual,4.99,6.03,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Vert,Lot,1 pièce,,,VEL-JOU-VERT-1P,95,shopify,50,deny,manual,1.99,2.01,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Vert,Lot,Lot de 3 pièces,,,VEL-JOU-VERT-3P,280,shopify,50,deny,manual,4.99,6.03,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Rouge,Lot,1 pièce,,,VEL-JOU-ROUG-1P,95,shopify,50,deny,manual,1.99,2.01,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Rouge,Lot,Lot de 3 pièces,,,VEL-JOU-ROUG-3P,280,shopify,50,deny,manual,4.99,6.03,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Bleu,Lot,1 pièce,,,VEL-JOU-BLEU-1P,95,shopify,50,deny,manual,1.99,2.01,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Bleu,Lot,Lot de 3 pièces,,,VEL-JOU-BLEU-3P,280,shopify,50,deny,manual,4.99,6.03,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Jaune clair,Lot,1 pièce,,,VEL-JOU-JAUC-1P,95,shopify,50,deny,manual,1.99,2.01,TRUE,TRUE,,,,,,,,,g,,
jouet-os-a-macher-chien,,,,,,,,Couleur,Jaune clair,Lot,Lot de 3 pièces,,,VEL-JOU-JAUC-3P,280,shopify,50,deny,manual,4.99,6.03,TRUE,TRUE,,,,,,,,,g,,
